trial,kernel,lengthscale1,lengthscale2,noise,rmsd_0,rmsd_40,totalrmsd,blind_fes_rmsd,blind_grad_rmsd
58,RBF,18.780037854167883,1.7212110861527,0.733568976929035,2.995053622513761,2.2757265607279398,5.270780183241701,21.715996101178387,8.20523383198551
59,RBF,13.60014814010049,1.0014294516068152,0.3695391785253631,2.8295798382780943,3.3878730751828696,6.2174529134609635,20.679887714335027,7.620098936965565
60,RBF,16.787218083389767,0.7613918952395325,0.6701349483356422,3.645040340028429,1.8072951607574756,5.452335500785905,21.42677285252683,7.716397436139911
61,RBF,19.831507878200092,1.2980264810203122,0.5425060488694233,2.5825638299471962,2.595220499647318,5.177784329594514,21.72891126401213,7.975634192587033
62,RBF,17.69885616984358,1.8734753689563557,0.5268759292402033,2.8522946463168024,2.8879444532405203,5.740239099557323,21.31331784522047,8.344348655448572
63,RBF,19.83569964921512,0.9780019177989191,0.651257082389869,3.0208700458715225,2.169365751275822,5.190235797147345,21.973272401825074,7.829141717328405
64,RBF,18.16274466089481,1.9013770250636022,0.8394584043115639,3.3107380646551112,2.1322682224499565,5.443006287105067,21.687172717801303,8.288871267188663
65,RBF,19.156267559012168,0.12867385808662385,0.42334430902166625,4.476602815282327,3.2124184944133662,7.689021309695693,24.822783431419005,8.210247479324803
66,RBF,19.665670401362018,0.23529348104232162,0.6677049673934713,6.3485737348468385,1.5335591076445687,7.882132842491407,23.584589451019248,7.817728282009828
67,RBF,16.71079647863121,0.9053720904866673,0.25240520446729403,2.522238423952988,3.4529750237723893,5.975213447725377,20.852545495395265,7.681228441730258
68,RBF,19.905969363464823,1.9568523243248022,0.5140860909785946,2.696516238037729,2.834496957602814,5.5310131956405435,21.84165742045831,8.369504572630044
69,RBF,17.58742460751494,1.3892705344921699,0.6838663034595833,2.9292515667700814,2.3190506391994847,5.248302205969566,21.331269177972725,8.011396635791455
70,RBF,14.085629857208378,0.3334821362348108,0.243497305947195,2.9183407268809387,2.908105418706107,5.826446145587045,20.056032026607404,8.132856781548123
71,RBF,19.625143545062382,1.3360671150967534,0.7249026745917667,2.862423442088202,2.1658211795230464,5.028244621611249,21.843451321423714,7.99507734595163
72,RBF,18.329672109254016,1.8309598335914463,0.7215712864898266,3.066850844738267,2.353442662455545,5.420293507193811,21.627065801625463,8.27112895012054
73,RBF,19.537392538552087,1.2962043607588898,0.7283367591554681,2.883487775771824,2.1457575115880156,5.0292452873598394,21.835585582545864,7.975039563872586
74,RBF,19.91667115970027,1.2475318045109796,0.738673783598542,2.9019374616496947,2.1098335009211784,5.011770962570873,21.92514658973511,7.953321527246606
75,RBF,19.118699776973212,1.8084889503631874,0.6609081822217718,2.894208414595927,2.4611610820569854,5.355369496652912,21.757987736309417,8.26270648061388
76,RBF,19.975023219930844,0.8282915901019515,0.7712554340552445,3.552443015745185,1.7351658287392346,5.28760884448442,22.19522175231513,7.793317954516528
77,RBF,16.368618674452335,1.5411131219195586,0.41942285909804133,2.663482842816235,3.242127940755005,5.90561078357124,20.771831657025057,8.114302997365122
78,RBF,19.604127652473696,1.3743256568689821,0.8074786980858566,2.9936784196195023,1.9990931239670287,4.992771543586531,21.899703781257266,8.014216437708459
79,RBF,19.52081028287854,0.19042648489420694,0.20186263094880433,2.603640862504692,4.217800596514006,6.821441459018698,24.299099626418098,8.74654695629851
80,RBF,19.151756513475934,0.9341511130427923,0.9733302585025443,3.7861805938506006,1.4474994883754382,5.233680082226039,22.13236450924425,7.835897444823095
81,RBF,18.7125101060605,1.4594546854392911,0.7921265496903429,3.0230283817217396,2.0582893031275673,5.0813176848493065,21.70114413766888,8.055329161001191
82,RBF,16.348620035527503,2.105436939233978,0.9547407881377511,3.85452982108298,2.0568630260520404,5.911392847135021,21.280833177076893,8.349666155357031
83,RBF,19.897525327914558,1.5008558878670686,0.756741697847967,2.8936746973421315,2.146129881949884,5.039804579292015,21.921369723236637,8.079142429979113
